Facility ID,Facility Name,Facility Type,District,Description,Has Clinic,Status,Created At,Updated At
cme99emar0021jncdik4ko46w,"Kawnpui PHC","PHC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99eml100dpjncdb7ru8lf1,"Kawnpui SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99embo002zjncd0woind8v,"Kawrtethawveng PHC","PHC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emtb00kjjncdkunn65mi,"Kawrtethawveng SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emtq00kvjncd9qmiz867,"Kawrthah SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99en0m00shjncdjfwriqqd,"Keifang AYUSH SC","A_HWC","Saitual","",No,Active,"13/08/2025","13/08/2025"
cme99emdp0053jncd9luvwt6s,"Keifang SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99en0400rtjncdvhxuxqah,"Keitum AYUSH SC","A_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emwa00ntjncduc7qky53,"Keitum SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emym00q9jncd1and9ze4,"Kelkang AYUSH SC","A_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emhf009pjncdy41qhk8g,"Kelkang SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emd8004jjncdpste37q8,"Kepran SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emi500anjncdme7byh7f,"Khankawn SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emda004ljncduguki60f,"Khanpui SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99en0800rzjncdnykzvkbk,"Khatla AYUSH SC","A_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emgl008jjncdww48x0ty,"Khatla SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emwm00o7jncdhyj99hin,"Khawbel SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emhh009rjncd1hx9gvs9,"Khawbung N SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99ema1001djncd9g37c0rm,"Khawbung PHC","PHC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emj000bfjncdvgik8nu3,"Khawbung SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99ema3001fjncdcnyws5ej,"Khawhai PHC","PHC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emj300bljncd61bjprsl,"Khawhai SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emjo00c9jncdf47otc0t,"Khawkawn SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emca003ljncdtm5pb3rp,"Khawlailung PHC","PHC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emwp00objncdipl9cm4j,"Khawlailung SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emq400hjjncdzg96e0a8,"Khawlek SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
